日期,开盘,收盘,最高,最低,成交量
2025-11-27,25.51,24.51,29.98,24.31,525238
2025-11-28,21.99,20.72,22.87,20.6,299642
2025-12-01,20.6,19.88,20.6,19.81,169186
2025-12-02,19.92,19.66,20.35,19.5,120832
2025-12-03,19.55,19.07,19.66,18.99,112244
2025-12-04,19.07,18.7,19.12,18.7,70294
2025-12-05,18.65,18.81,18.98,18.64,58302
2025-12-08,18.71,18.8,18.86,18.65,63986
2025-12-09,18.89,18.95,19.4,18.77,95617
2025-12-10,18.85,18.33,18.98,18.18,87148
2025-12-11,18.36,18.96,19.69,18.16,156639
2025-12-12,18.66,19.05,19.68,18.33,131074
2025-12-15,18.78,18.72,19.14,18.65,57521
2025-12-16,18.72,19.9,20.33,18.44,173835
2025-12-17,19.7,20.32,21.65,19.45,222376
2025-12-18,20.02,19.6,20.43,19.5,118382
2025-12-19,19.69,19.2,19.8,19.08,89300
2025-12-22,19.12,19.12,19.28,18.92,57426
2025-12-23,19.12,18.69,19.15,18.52,67512
2025-12-24,18.61,18.71,18.77,18.53,40714
2025-12-25,18.72,18.69,18.89,18.55,47067
2025-12-26,18.69,18.98,19.3,18.53,90586
2025-12-29,18.99,18.63,19.04,18.61,54880
2025-12-30,18.58,18.34,18.58,18.27,50711
2025-12-31,18.39,18.21,18.55,18.21,36243
2026-01-05,18.25,18.43,18.5,18.15,36903
2026-01-06,18.43,18.6,18.65,18.41,49733
2026-01-07,18.64,18.52,18.74,18.49,44031
